student_pid,State,Started on,Completed,Grade/10.00,topic,labType
spid1_MO6F2JELDYB3AIHJWSTU2YYGER,Finished,02/02/2023 20:30,02/02/2023 22:17,0.3,C-String,Prelab
spid1_MO6F2JELDYB3AIHJWSTU2YYGER,Finished,02/02/2023 22:22,02/02/2023 22:26,10.0,C-String,Prelab
spid1_MO6F2JELDYB3AIHJWSTU2YYGER,Finished,02/02/2023 22:31,02/02/2023 23:11,3.33,C-String,Prelab
spid1_YBABBDLF77HXEEH4IWSGPYK5IR,Finished,02/02/2023 22:34,04/02/2023 15:23,10.0,C-String,Prelab
spid1_GNAZAN4KM4FPQGVTHBGPVNN2RN,Finished,04/02/2023 9:06,04/02/2023 9:22,10.0,C-String,Prelab
spid1_IYIY7BQUZREWPHI77FBZTQOSKG,Finished,04/02/2023 9:55,04/02/2023 22:28,10.0,C-String,Prelab
spid1_5DCQ7NUBTPQLJOBQ3CVA2J4ETC,Finished,04/02/2023 11:02,11/02/2023 11:02,3.33,C-String,Prelab
spid1_S42WY55JJDMDRFGZLWHQK2E67C,Finished,04/02/2023 12:42,04/02/2023 14:09,6.36,C-String,Prelab
spid1_BWMSXGTYV22BM6KKZEFQGT5472,Finished,04/02/2023 15:14,10/02/2023 22:33,10.0,C-String,Prelab
spid1_6OF5L2T3VQA5K33CXNOKT2Z7X7,Finished,04/02/2023 18:32,09/02/2023 20:15,7.88,C-String,Prelab
spid1_V4D46HJVZPNGZNSBS7GHTZH6E3,Finished,04/02/2023 18:45,04/02/2023 22:32,6.97,C-String,Prelab
spid1_GZI4KGPY7ZSE7HNVETT5AVEOB5,Finished,04/02/2023 20:43,06/02/2023 10:32,10.0,C-String,Prelab
spid1_VW6HIBSYVLPXI7STLBRRM5N3YG,Finished,04/02/2023 23:07,11/02/2023 0:51,8.18,C-String,Prelab
spid1_UPRDA6LNBF5BR23E7VE73X4IPK,Finished,05/02/2023 16:07,06/02/2023 11:29,10.0,C-String,Prelab
spid1_YJIB3AM6U3JEFKGESBYGWHHZTD,Finished,05/02/2023 18:49,08/02/2023 13:03,10.0,C-String,Prelab
spid1_MXZRHIXZHQ3GK32IBQPGJAR7NT,Finished,05/02/2023 19:11,05/02/2023 21:27,10.0,C-String,Prelab
spid1_IMCDOYGULMT4BMWNH6KNWKA3ZO,Finished,05/02/2023 19:14,05/02/2023 21:21,10.0,C-String,Prelab
spid1_YGW63SS2Z7WT7UXKPWSPRZ2QG2,Finished,05/02/2023 19:36,06/02/2023 8:11,10.0,C-String,Prelab
spid1_KXTZ46QB7GBTXGGRMYW53AYSIW,Finished,05/02/2023 20:05,05/02/2023 21:18,10.0,C-String,Prelab
spid1_KXWPIZIBHXVNXTTFXINTRBZ2BE,Finished,05/02/2023 20:16,12/02/2023 20:15,6.36,C-String,Prelab
spid1_2MPKMY35WFQMDCZR6OQVTFUN5U,Finished,05/02/2023 20:59,05/02/2023 22:41,8.18,C-String,Prelab
spid1_ZFQRWM3XNYCJMWNRHEFKFER7LH,Finished,05/02/2023 22:52,11/02/2023 3:23,10.0,C-String,Prelab
spid1_6SIYXK5QL2IUICB24TCJQSTHIN,Finished,05/02/2023 23:10,12/02/2023 10:41,10.0,C-String,Prelab
spid1_FW44OO6HQVOX453BRBDMOX7AEI,Finished,05/02/2023 23:21,11/02/2023 13:45,10.0,C-String,Prelab
spid1_YLSYCBN3HZAONFTJ6QPAJQBEJV,Finished,05/02/2023 23:25,12/02/2023 23:25,3.33,C-String,Prelab
spid1_EV3NUK2FPA5OZED4ESW6FL4RGI,Finished,05/02/2023 23:26,12/02/2023 12:12,6.06,C-String,Prelab
spid1_4CULSOTLBZBJ6P4VI7VZENRXMA,Finished,06/02/2023 7:14,07/02/2023 2:17,10.0,C-String,Prelab
spid1_6IEDQOTB4IFSWFPDO4NS7POCXU,Finished,06/02/2023 7:17,11/02/2023 20:56,10.0,C-String,Prelab
spid1_CHUH5EJKMXWU5QMWBFZN64TNHN,Finished,06/02/2023 7:18,06/02/2023 16:09,7.88,C-String,Prelab
spid1_NST3FIZZPNGM5NIGV7VUXAMC44,Finished,06/02/2023 7:21,06/02/2023 8:55,10.0,C-String,Prelab
spid1_OEOYPSVRIPXFKAHSVNHSN2KSZ5,Finished,06/02/2023 7:26,13/02/2023 7:26,0.0,C-String,Prelab
spid1_N64GOSTWA4JXUNIIKRYP6CZ6XS,Finished,06/02/2023 9:13,10/02/2023 1:02,10.0,C-String,Prelab
spid1_XAROWPNW4VCQTL5O3UISEZAMJH,Finished,06/02/2023 12:06,13/02/2023 12:06,0.0,C-String,Prelab
spid1_VUMCI6OWPLOMX255T7LBJ6TKRO,Finished,06/02/2023 13:12,06/02/2023 14:31,10.0,C-String,Prelab
spid1_QBPORPLIQ4WNOZ4OC2RLLUJLBY,Finished,06/02/2023 13:14,13/02/2023 13:14,2.42,C-String,Prelab
spid1_5YCRJFRTK2YHPFGLDLFQJ2HTMU,Finished,06/02/2023 13:17,13/02/2023 13:17,9.39,C-String,Prelab
spid1_JBXDBJYYURMTTZSIBEVEF4UD5Q,Finished,06/02/2023 13:19,13/02/2023 12:03,10.0,C-String,Prelab
spid1_H4IXKIBNSJVK7SYLBW6JCXIXTK,Finished,06/02/2023 13:20,13/02/2023 13:20,3.33,C-String,Prelab
spid1_GC6ZNEZLSO5RSXQDHO2VRPII6U,Finished,06/02/2023 13:22,08/02/2023 15:57,10.0,C-String,Prelab
spid1_AXFU67ADERCAWE3JLPSYU4RZMC,Finished,06/02/2023 13:31,13/02/2023 13:31,0.0,C-String,Prelab
spid1_UZXGRC3HPKF42ZVKFLVUZ3OUGR,Finished,06/02/2023 13:32,06/02/2023 15:40,10.0,C-String,Prelab
spid1_U7J5IL6HLYRYNA5BFS5Y23FACI,Finished,06/02/2023 13:38,10/02/2023 23:18,10.0,C-String,Prelab
spid1_KCW2TFPIZM6B4Y7ERIUCVUOCWF,Finished,06/02/2023 14:11,09/02/2023 14:20,10.0,C-String,Prelab
spid1_C6UAXWHU4GFT2INWKEYQLNDV5H,Finished,06/02/2023 14:19,11/02/2023 16:17,10.0,C-String,Prelab
spid1_JQVDBZPFSUITN4EHCMSAJTT6FB,Finished,06/02/2023 14:23,11/02/2023 15:10,10.0,C-String,Prelab
spid1_2MPKMY35WFQMDCZR6OQVTFUN5U,Finished,06/02/2023 16:23,06/02/2023 16:26,10.0,C-String,Prelab
spid1_LJ7IRDL4VEKZVFNZHBRT4JGBMH,Finished,06/02/2023 17:11,10/02/2023 15:30,10.0,C-String,Prelab
spid1_ZRN62PHVHX7D5VUVG3MSB7GFNZ,Finished,06/02/2023 18:40,13/02/2023 16:29,7.88,C-String,Prelab
spid1_HVNWSASYFHB45KK4UPSEX4JTNP,Finished,06/02/2023 18:47,13/02/2023 18:47,8.18,C-String,Prelab
spid1_TUL4B2VEDZ7442G2FUS5KHX5QA,Finished,06/02/2023 19:24,13/02/2023 19:24,10.0,C-String,Prelab
spid1_VK6CTRAV3I2IJW5SAJ7DKEPUSJ,Finished,06/02/2023 19:39,06/02/2023 22:48,10.0,C-String,Prelab
spid1_YL7RBICXLJRAG54ZYRG3O3OBCJ,Finished,06/02/2023 20:33,10/02/2023 15:58,8.18,C-String,Prelab
spid1_UI3WOHUE7EJEKEOQJMQN26ICKU,Finished,06/02/2023 23:06,07/02/2023 9:36,10.0,C-String,Prelab
spid1_ZRDNPLBIX4JLI7JLO6I3YG7OTV,Finished,07/02/2023 0:12,07/02/2023 0:56,6.97,C-String,Prelab
spid1_ZRDNPLBIX4JLI7JLO6I3YG7OTV,Finished,07/02/2023 9:03,14/02/2023 9:03,10.0,C-String,Prelab
spid1_TTI7O5QBPJLSDV2CHCFX4GHA6T,Finished,07/02/2023 9:32,07/02/2023 13:21,10.0,C-String,Prelab
spid1_H7V2COGELT3KAF3KQWB4XBQSIQ,Finished,07/02/2023 10:24,10/02/2023 22:42,10.0,C-String,Prelab
spid1_E5LAXAWFKREMZMJ4CWACDTWBJP,Finished,07/02/2023 11:12,08/02/2023 0:21,10.0,C-String,Prelab
spid1_RYRNHDJUVOXRWDO5ZRTUSO7TGJ,Finished,07/02/2023 13:33,07/02/2023 13:38,10.0,C-String,Prelab
spid1_JFFKULXJ6C6VE3RFHD7M7Y2VCQ,Finished,07/02/2023 13:35,08/02/2023 22:25,10.0,C-String,Prelab
spid1_VMGJOYCECPBVHAQ7WVDQFDXTZA,Finished,07/02/2023 13:56,07/02/2023 22:24,9.7,C-String,Prelab
spid1_SKWRXG3RKEQS4Z7OGL4IEJTOCY,Finished,07/02/2023 15:38,08/02/2023 11:59,10.0,C-String,Prelab
spid1_CHACKMJZ32NTEWGJMVTEKMT53N,Finished,07/02/2023 16:48,07/02/2023 21:09,10.0,C-String,Prelab
spid1_BF3G3G7DQ5V74FI27FTDV4XAQO,Finished,07/02/2023 17:57,14/02/2023 17:57,6.67,C-String,Prelab
spid1_VYBQWCLZC4O5264Y5CHGVGQZLZ,Finished,07/02/2023 18:02,08/02/2023 14:07,6.97,C-String,Prelab
spid1_LUPEYITXUFPHEYG7DE46HFHO4J,Finished,07/02/2023 19:30,08/02/2023 18:51,10.0,C-String,Prelab
spid1_3PXWHT2T52KEV4FQB2YNJV4NAT,Finished,07/02/2023 20:10,07/02/2023 20:47,10.0,C-String,Prelab
spid1_YFKVBCGJE2TL3SPLNLBHVV3VSQ,Finished,07/02/2023 21:50,10/02/2023 20:45,10.0,C-String,Prelab
spid1_PLFT66SNJJAXWZSH2A545CPFTZ,Finished,07/02/2023 21:51,07/02/2023 22:20,10.0,C-String,Prelab
spid1_LLP66UUR5FBO3LQ3VTE5JDSNXM,Finished,07/02/2023 22:25,09/02/2023 8:36,10.0,C-String,Prelab
spid1_ICSNCKINYSTLEDACM5STZZHLE7,Finished,07/02/2023 23:21,09/02/2023 13:07,10.0,C-String,Prelab
spid1_FVRTR2DJBZ6YWBNOKFY63QO5KW,Finished,08/02/2023 7:16,14/02/2023 23:32,10.0,C-String,Prelab
spid1_42PG4C4E7E5WYZJZSZZXCMUNSL,Finished,08/02/2023 7:52,12/02/2023 16:23,10.0,C-String,Prelab
spid1_RSYW4VFBSJXPL4USZCNSHMD6JH,Finished,08/02/2023 7:53,15/02/2023 7:53,0.0,C-String,Prelab
spid1_BM5N6KWOW3LRYF447F3WRSYC6U,Finished,08/02/2023 8:06,15/02/2023 8:06,6.67,C-String,Prelab
spid1_H47I346CVN3MN7AIO3DFD7N2KH,Finished,08/02/2023 8:06,11/02/2023 0:25,10.0,C-String,Prelab
spid1_PQTH5SQKZNW3J7R4Z2543WIHVX,Finished,08/02/2023 8:06,08/02/2023 14:26,10.0,C-String,Prelab
spid1_JWA45AJX5CYID5D7E7LJ3R6KLK,Finished,08/02/2023 8:06,13/02/2023 19:48,10.0,C-String,Prelab
spid1_AX537TF4N5DFQYOKHXMWCF4RHA,Finished,08/02/2023 8:18,15/02/2023 8:18,0.61,C-String,Prelab
spid1_2GUVSMMAZ2Y5VA44U523FFBSU6,Finished,08/02/2023 8:19,15/02/2023 8:19,0.0,C-String,Prelab
spid1_JC3XKE36EGPWITHG6USO3WCX6C,Finished,08/02/2023 8:19,11/02/2023 20:15,10.0,C-String,Prelab
spid1_WQ47SKHPLVIG2G74WRKO422IQB,Finished,08/02/2023 8:19,13/02/2023 20:45,6.97,C-String,Prelab
spid1_AVXGUP22WY6IGGMGOWKNZO2U2L,Finished,08/02/2023 8:19,11/02/2023 10:26,10.0,C-String,Prelab
spid1_SHL7QQBPYSOLEJUTQCJ6N6MFM5,Finished,08/02/2023 8:19,15/02/2023 8:19,0.0,C-String,Prelab
spid1_VMGJOYCECPBVHAQ7WVDQFDXTZA,Finished,08/02/2023 8:19,08/02/2023 8:51,10.0,C-String,Prelab
spid1_5V6BSDY6O7KLKB3KLKWGLQ3UXH,Finished,08/02/2023 8:21,10/02/2023 21:47,10.0,C-String,Prelab
spid1_ABTBVQTFZXY663EK2SEL3OXHCH,Finished,08/02/2023 8:23,15/02/2023 8:23,6.67,C-String,Prelab
spid1_QPPRHKKDRG3HC73I7R4EUK32AS,Finished,08/02/2023 8:27,13/02/2023 11:33,10.0,C-String,Prelab
spid1_ME3VTZIKP5JVYJRRVXOJYFOM75,Finished,08/02/2023 8:28,11/02/2023 17:27,10.0,C-String,Prelab
spid1_BLAV7BGOUWX224MKIVOMJTPJ2T,Finished,08/02/2023 8:32,10/02/2023 19:59,10.0,C-String,Prelab
spid1_FAHVJLNLVRHLRQO3T2YWXHCMDQ,Finished,08/02/2023 8:34,10/02/2023 9:28,10.0,C-String,Prelab
spid1_E4PSJGUC6WZWBSDPESKMROSVUZ,Finished,08/02/2023 8:45,08/02/2023 10:57,10.0,C-String,Prelab
spid1_O7BXT6H2TFHGICY4YNOY6FJVWQ,Finished,08/02/2023 9:10,13/02/2023 10:42,10.0,C-String,Prelab
spid1_CVJOMCOIPTV2O7NQA3DU3SQ65F,Finished,08/02/2023 9:10,08/02/2023 11:09,10.0,C-String,Prelab
spid1_RUHSJWM5TKYJSF46MQUBNQRFCC,Finished,08/02/2023 9:11,09/02/2023 11:36,10.0,C-String,Prelab
spid1_F4JCNPF5Y5HDICX6MQ57UB2XCQ,Finished,08/02/2023 9:11,09/02/2023 11:32,10.0,C-String,Prelab
spid1_TGB2EIDVMQQDYO6HLIYS6FFUEN,Finished,08/02/2023 9:12,13/02/2023 17:27,10.0,C-String,Prelab
spid1_Y5UCJQJ2URPMMZPIALR6JLYB7X,Finished,08/02/2023 9:12,09/02/2023 21:01,10.0,C-String,Prelab
spid1_GZI4KGPY7ZSE7HNVETT5AVEOB5,Finished,08/02/2023 11:08,08/02/2023 19:03,0.0,C-String,Prelab
spid1_FT57PWWZCTD67BIO45VDXCATWJ,Finished,08/02/2023 12:21,14/02/2023 17:38,10.0,C-String,Prelab
spid1_ZN5HUVCCWNLZKK7BYOFMXMHQ3O,Finished,08/02/2023 14:08,15/02/2023 14:08,0.0,C-String,Prelab
spid1_EMXLXTK6LTTHIKBKD44EMRZC7P,Finished,08/02/2023 14:28,15/02/2023 14:28,6.36,C-String,Prelab
spid1_LATB5AZ6XNBMQYIWU5OVL4WJNY,Finished,08/02/2023 15:28,09/02/2023 15:05,10.0,C-String,Prelab
spid1_TLKG7NGTN73PJFBQCWKAVTNYW5,Finished,08/02/2023 15:55,15/02/2023 15:55,1.52,C-String,Prelab
spid1_YX4I246VPQ5OQZH34MU7U7SZES,Finished,08/02/2023 17:06,11/02/2023 20:39,10.0,C-String,Prelab
spid1_5BV637UKCYDVYMZP5OGAYTDBD5,Finished,08/02/2023 19:46,15/02/2023 14:21,10.0,C-String,Prelab
spid1_ZDQMP4TOXWWVQPZXHFR7Z75CR4,Finished,08/02/2023 20:57,08/02/2023 21:46,10.0,C-String,Prelab
